R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R18;S19 + S138 -> S18;C2H2N4O4 + NO2 -> C2H2N5O6;[O]N(/N=C/C=N\N([O])[O])[O],[O]N=O:[O]N(/N=C/C=N\N(ON([O])[O])[O])[O];5.357651e+08;2.269680e+07;2.553011e+09;1
R18*;S18 -> S19 + S138;C2H2N5O6 -> C2H2N4O4 + NO2;[O]N(/N=C/C=N\N(ON([O])[O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N=O;0.000000e+00;0.000000e+00;7.489331e+12;0
R19;S20 -> S21 + S138;C6H6N12O12 -> C6H6N11O10 + NO2;[O]N(/N=C/[C@H](N(/C(=C\[N]N([O])[O])/NN([O])[O])N([O])[O])N(N([O])[O])/C=C/[N]N([O])[O])[O]:[O]N(/N=C/[C@H](N(/C(=C\[N]N([O])[O])/[NH])N([O])[O])N(N([O])[O])/C=C/[N]N([O])[O])[O],[O]N=O;9.708738e+10;4.112945e+09;4.626377e+11;1
R19*;S21 + S138 -> S20;C6H6N11O10 + NO2 -> C6H6N12O12;[O]N(/N=C/[C@H](N(/C(=C\[N]N([O])[O])/[NH])N([O])[O])N(N([O])[O])/C=C/[N]N([O])[O])[O],[O]N=O:[O]N(/N=C/[C@H](N(/C(=C\[N]N([O])[O])/NN([O])[O])N([O])[O])N(N([O])[O])/C=C/[N]N([O])[O])[O];0.000000e+00;0.000000e+00;5.232105e+09;0
R20;S22 -> S24 + S128;C12H12N24O24 -> C6H6N12O12 + C6H6N12O12;[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])[O]:[O]N(/N=C/[C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])[CH]/C=N/N([O])[O])[O],[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O];6.666667e+12;1.011669e+12;2.133741e+13;2
R20*;S24 + S128 -> S22;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;[O]N(/N=C/[C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])[CH]/C=N/N([O])[O])[O],[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])[O];0.000000e+00;0.000000e+00;1.100018e+11;0
R21;S23 -> S22;C12H12N24O24 -> C12H12N24O24;[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON([N][C@H]1N(N([O])[O])[C@H]2N([C@H]1N(N([O])[O])[C@H](N([CH]2)N([O])[O])/C=N/N([O])[O])N([O])[O])[O])[O]:[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R21*;S22 -> S23;C12H12N24O24 -> C12H12N24O24;[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])[O]:[O]N(/N=C/[C@H](N([C@H](N(N([O])[O])[CH]/C=N/N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])ON([N][C@H]1N(N([O])[O])[C@H]2N([C@H]1N(N([O])[O])[C@H](N([CH]2)N([O])[O])/C=N/N([O])[O])N([O])[O])[O])[O];0.000000e+00;0.000000e+00;9.985774e+12;0
R22;S24 + S128 -> S19 + S91;C6H6N12O12 + C6H6N12O12 -> C2H2N4O4 + C10H10N20O20;[O]N(/N=C/[C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])[CH]/C=N/N([O])[O])[O],[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N]/C=C/N([C@H](N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])/C=N/N([O])[O])N([O])[O])[O];3.671951e+10;1.555561e+09;1.749747e+11;1
R22*;S19 + S91 -> S24 + S128;C2H2N4O4 + C10H10N20O20 -> C6H6N12O12 + C6H6N12O12;[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N]/C=C/N([C@H](N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])/C=N/N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])N(N([O])[O])[CH]/C=N/N([O])[O])[O],[O]N([N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;1.804030e+13;0
