# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	
113000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
114000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N3O7	H5C7N3O5	H6C6N12O12	
115000        288          4	 190	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	
116000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
117000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N2O4	NO2	H6C6N12O12	H12C12N24O24	
118000        288          5	 191	 1	 1	 94	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H12C12N24O24	
119000        287          3	 192	 94	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N2O4	NO2	H6C6N12O12	
120000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
121000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
122000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C3NO2	H2C4N2O4	H6C6N12O12	H6C6N11O10	NO2	
123000        290          6	 191	 1	 1	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
124000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
125000        288          5	 192	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
126000        288          5	 192	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
127000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C6N2O4	CNO2	H6C6N12O12	
128000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C6N3O6	HC	H6C6N12O12	H12C12N23O22	NO2	H6C6N11O10	
129000        291          7	 191	 1	 1	 92	 1	 3	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
130000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
131000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
132000        288          5	 192	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
133000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
134000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H5C7N2O4	NO2	H6C6N12O12	H6C6N11O10	
135000        291          7	 190	 1	 1	 1	 2	 95	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C5N2O4	HC2NO2	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
136000        289          7	 191	 1	 1	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
137000        291          4	 192	 93	 3	 3	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
138000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	NO2	H12C12N23O22	
