# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H11C13N14O16	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H6C6N10O7	H12C12N23O22	H6C6N10O8	H4C4N8O8	H2C2N4O4	
147000        319         14	 190	 1	 1	 1	 21	 29	 65	 1	 1	 1	 2	 1	 1	 4	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H4C4NO2	HC3N2O4	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H6C6N10O7	H12C12N23O22	H2C2N4O4	H4C4N5O3	H6C6N10O8	H4C4N8O8	
148000        325         16	 190	 1	 1	 1	 1	 23	 31	 63	 1	 2	 1	 2	 5	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H4C4NO2	HC3N2O4	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H6C6N10O7	H2C2N4O4	H4C4N5O3	H12C12N23O22	H6C6N10O8	H4C4N8O8	
149000        328         16	 189	 1	 1	 2	 2	 23	 32	 64	 1	 2	 1	 5	 1	 1	 2	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H6C6N10O7	H2C2N4O4	H4C4N5O3	H12C12N23O22	H2C2N6O6	H4C4N5O4	H6C6N10O8	H4C4N8O8	
150000        326         16	 191	 1	 1	 19	 31	 66	 1	 2	 1	 5	 1	 1	 1	 1	 3	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C5N2O4	HC2NO2	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H6C6N9O5	H2C2N4O4	H4C4N3O2	N2O	H2C2N6O6	H4C4N5O4	H6C6N10O8	H4C4N8O8	
151000        333         16	 191	 1	 1	 24	 36	 63	 1	 2	 1	 5	 1	 1	 1	 1	 3	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H6C6N8O3	H6C6N9O7	H2C2N4O4	H4C4N5O3	H12C12N23O22	H2C2N6O6	H4C4N5O4	H6C6N10O8	H4C4N8O8	
152000        336         15	 192	 26	 41	 58	 1	 3	 1	 1	 5	 1	 1	 1	 1	 3	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C2	H2C5N3O6	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H6C6N6O3	N2	H6C6N9O7	H2C2N4O4	H4C4N5O3	H2C2N6O6	H4C4N5O4	H6C6N10O8	H4C4N8O8	H2C2N4O3	H4C4N6O5	
153000        338         19	 191	 1	 1	 25	 39	 61	 1	 3	 1	 1	 1	 5	 1	 1	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H2C2N4O4	H6C6N10O8	H6C6N6O3	N2	H6C6N9O7	H4C4N5O3	H2C2N6O6	H4C4N5O4	H4C4N8O8	H2C2N4O3	H4C4N6O5	H6C6N9O6	
154000        344         18	 192	 27	 44	 57	 1	 3	 8	 2	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N11O10	NO2	H6C6N12O12	H6C6N9O8	N2O3	H2C2N4O4	H6C6N10O8	H6C6N6O3	N2	H4C4N5O3	H6C6N13O14	H2C2N6O6	H4C4N5O4	H4C4N8O8	H2C2N4O3	H4C4N4O2	
155000        345         17	 192	 25	 40	 56	 1	 4	 13	 3	 1	 1	 2	 1	 1	 1	 2	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C7N3O6	H4C7N3O6	H5C7N2O4	NO2	H4C4NO2	HC3N2O4	H6C6N11O10	H6C6N12O12	H6C6N9O8	N2O3	H6C6N10O10	N2O2	H2C2N4O4	H6C6N10O8	HCN3O2	H4C4N2	N2	HCNO	H4C4N5O3	H4C4N8O8	NO3	H2C2N6O6	H4C4N5O4	H2C2N4O3	H4C4N4O2	H6C6N12O11	
156000        354         27	 188	 1	 1	 1	 43	 1	 1	 27	 52	 1	 4	 1	 1	 14	 3	 1	 1	 1	 1	 2	 3	 1	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N2O4	NO2	H4C4NO2	HC3N2O4	H6C6N10O8	H6C6N12O12	H6C6N11O10	H6C6N9O6	H6C6N9O8	N2O3	H2C2N4O4	H5C6N9O8	HN	H2C2N2O2	N2O	H4C4N2	N2	H4C4N5O3	H6C6N10O9	H4C4N8O8	NO3	H2C2N6O6	H4C4N5O4	H2C2N4O3	H4C4N4O2	H6C6N12O11	
157000        365         27	 190	 1	 52	 1	 1	 4	 46	 29	 1	 1	 5	 15	 1	 1	 1	 1	 1	 1	 2	 1	 4	 1	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N2O4	NO2	H4C6N3O6	HC	H6C6N11O10	H6C6N12O12	H6C6N10O8	H6C6N9O8	N2O3	H2C2N4O4	H2C2N2O2	N2O	H4C4N2	N2	H4C4N5O3	H6C6N10O9	NO3	H4C4N8O8	H2C2N6O6	H4C4N5O4	H2C2N4O3	H4C4N4O2	H6C6N12O11	
158000        367         24	 189	 2	 54	 1	 1	 33	 43	 5	 1	 5	 17	 1	 1	 1	 1	 2	 1	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N11O10	NO2	H6C6N12O12	H3C3N5O4	H6C6N9O8	N2O3	H2C2N4O4	H6C6N10O8	H2C2N2O2	N2O	H4C4N2	N2	H4C4N5O3	H6C6N10O9	NO3	HCN2O2	H2C2N6O6	H4C4N5O4	H4C4N6O4	H4C4N8O8	H2C2N4O3	H4C4N4O2	H6C6N12O11	
159000        368         24	 192	 32	 51	 44	 2	 1	 5	 21	 3	 1	 1	 1	 1	 2	 1	 1	 2	 1	 1	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H4C5N2O4	HC2NO2	H6C6N11O10	NO2	H6C6N12O12	H3C3N5O4	H6C6N9O8	N2O3	H2C2N4O4	H6C6N10O8	H4C4N8O8	H2C2N2O2	N2O	H4C4N2	N2	H4C4N7O6	H4C4N5O3	H6C6N10O9	NO3	H2C2N6O6	H4C4N5O4	H2C2N4O3	H4C4N4O2	H6C6N12O11	H6C6N9O6	
160000        378         28	 190	 1	 1	 1	 1	 31	 56	 38	 2	 1	 6	 25	 5	 4	 1	 1	 1	 1	 1	 2	 2	 1	 1	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N11O10	NO2	H6C6N12O12	H3C3N5O4	H6C6N9O8	N2O3	H12C12N22O20	H2C2N4O4	H6C6N10O8	H4C4N8O8	H2C2N2O2	N2O	H4C4N2	N2	H8C8N15O14	H4C4N7O6	H4C4N5O3	H6C6N10O9	NO3	H2C2N6O6	H4C4N5O4	H2C2N4O3	H4C4N4O2	
161000        382         24	 192	 33	 62	 32	 2	 1	 6	 1	 26	 7	 4	 1	 1	 1	 1	 1	 1	 2	 2	 1	 1	 1	 2	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N2O4	NO2	H6C6N11O10	H6C6N12O12	H3C3N5O4	H6C6N9O8	N2O3	H2C2N4O4	H6C6N10O8	H2C2N2O2	N2O	H4C4N2	N2	H8C8N15O14	H4C4N7O6	H4C4N5O3	H4C4N6O5	H6C6N10O9	NO3	H2C2N6O6	H4C4N5O4	H4C4N8O8	H2C2N4O3	H4C4N4O2	
162000        382         25	 191	 1	 59	 30	 36	 2	 1	 6	 30	 8	 1	 1	 1	 1	 1	 1	 1	 1	 2	 1	 1	 1	 2	 2	 1	
