R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R889*;S65 + S447 -> S480;C2HN3O3 + HO -> C2H2N3O4;N=[C][C@]1(O[N]1)N([O])[O],[OH]:[O]N(C(=C=N)N=O)OO;0.000000e+00;0.000000e+00;2.004478e+12;0
R890;S481 + S536 -> S60;C2H2N2O3 + NO2 -> C2H2N3O5;[O]N(C(=C=N)O)[O],[O]N=O:N=[C]C(N([O])[O])(N([O])[O])O;2.014316e+08;8.533315e+06;9.598556e+08;1
R890*;S60 -> S481 + S536;C2H2N3O5 -> C2H2N2O3 + NO2;N=[C]C(N([O])[O])(N([O])[O])O:[O]N(C(=C=N)O)[O],[O]N=O;7.751938e+10;3.283979e+09;3.693929e+11;1
R891;S481 -> S388 + S536;C2H2N2O3 -> C2H2NO + NO2;[O]N(C(=C=N)O)[O]:[NH]C#CO,[O]N=O;8.810573e+10;1.337007e+10;2.819922e+11;2
R891*;S388 + S536 -> S481;C2H2NO + NO2 -> C2H2N2O3;[NH]C#CO,[O]N=O:[O]N(C(=C=N)O)[O];0.000000e+00;0.000000e+00;8.937035e+08;0
R892;S482 -> S37 + S536;C2HN2O3 -> C2HNO + NO2;[O]N(C(=C=N)[O])[O]:N=C=C=O,[O]N=O;4.761905e+11;1.130954e+11;1.261634e+12;3
R892*;S37 + S536 -> S482;C2HNO + NO2 -> C2HN2O3;N=C=C=O,[O]N=O:[O]N(C(=C=N)[O])[O];0.000000e+00;0.000000e+00;6.376061e+07;0
R893;S483 -> S357 + S536 + S536;C2N3O4 -> C2N + NO2 + NO2;[O]N(C(=C=[N])N([O])[O])[O]:[C]=C=[N],[O]N=O,[O]N=O;6.086427e+09;2.578413e+08;2.900285e+10;1
R893*;S357 + S536 + S536 -> S483;C2N + NO2 + NO2 -> C2N3O4;[C]=C=[N],[O]N=O,[O]N=O:[O]N(C(=C=[N])N([O])[O])[O];0.000000e+00;0.000000e+00;4.796410e+08;0
R894;S484 -> S188 + S536;C2H2N3O2 -> C2H2N2 + NO2;[O]N(C(=C=[N])N)[O]:N[C]=C=[N],[O]N=O;1.428571e+11;6.051905e+09;6.807383e+11;1
R894*;S188 + S536 -> S484;C2H2N2 + NO2 -> C2H2N3O2;N[C]=C=[N],[O]N=O:[O]N(C(=C=[N])N)[O];0.000000e+00;0.000000e+00;5.599100e+08;0
R895;S486 -> S487;C4H4N6O5 -> C4H4N6O5;[O]N(C(=CN[N]/C(=C/1\[N]O1)/N)N([O])[O])[O]:[O]N(C(=C[N]N/C(=C/1\[N]O1)/N)N([O])[O])[O];3.333333e+12;1.412111e+11;1.588389e+13;1
R895*;S487 -> S486;C4H4N6O5 -> C4H4N6O5;[O]N(C(=C[N]N/C(=C/1\[N]O1)/N)N([O])[O])[O]:[O]N(C(=CN[N]/C(=C/1\[N]O1)/N)N([O])[O])[O];0.000000e+00;0.000000e+00;4.992887e+12;0
R896;S487 -> S245 + S360;C4H4N6O5 -> C4H3N6O5 + H;[O]N(C(=C[N]N/C(=C/1\[N]O1)/N)N([O])[O])[O]:O=N/[C]=C(\N=N\C=C(N([O])[O])N([O])[O])/N,[H];1.666667e+12;7.060556e+10;7.941947e+12;1
