 ************************ Laplacian bond order matrix ************************
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    30    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    31    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    32    0.00000294    0.00000000    0.00000000    0.56101209    0.00000000
    33    0.00000000    0.00000000    0.00000000    0.00000000    0.00001538
    34    0.00000344    0.00000000    0.00000000    0.58393326    0.00000000
    35    0.00000000    0.00000592    0.61219328    0.00000000    0.00000000
    36    0.00000000    0.00000396    0.62154491    0.00000000    0.00000000
            26            27            28            29            30      
     1    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     2    0.00000000    0.00000088    0.00000000    0.00000008    0.00000000
     3    0.00000000    0.00000000    0.00000000    0.00000000    0.00000027
     4    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     5    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     6    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     7    0.00000019    0.00000000    0.00000000    0.00000000    0.00000000
     8    0.00000001    0.00000020    0.00000000    0.00000014    0.00000000
     9    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    10    0.00000000    0.00000000    0.00000000    0.00000000    0.00000005
    11    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    12    0.00000000    0.00000000    0.00000066    0.00000000    0.00000000
    13    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    14    0.00000080    0.00000318    0.00000001    0.00000000    0.00000512
    15    0.00000000    0.00000000    0.00000000    0.00000255    0.00000000
    16    0.00000000    0.63680851    0.00000000    0.00000000    0.53084668
    17    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    18    0.62550778    0.00000000    0.58049798    0.00000000    0.00000000
