# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	
1000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
453000        108         13	 83	 5	 5	 1	 2	 1	 1	 4	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H5C6N12O12	H7C6N12O12	H6C6N9O8	N2O	
454000        107         15	 82	 4	 4	 1	 2	 1	 1	 4	 1	 2	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
455000        108         13	 83	 4	 4	 1	 2	 1	 1	 5	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
456000        108         13	 83	 4	 4	 1	 2	 1	 1	 5	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
457000        109         13	 82	 5	 5	 1	 2	 1	 1	 5	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
458000        109         13	 83	 4	 4	 1	 2	 1	 1	 7	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
459000        110         13	 82	 5	 5	 1	 2	 1	 1	 7	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
460000        109         13	 83	 4	 4	 1	 2	 1	 1	 7	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N12O13	H6C6N12O11	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N9O8	N2O	
461000        109         14	 81	 4	 4	 1	 2	 1	 1	 2	 1	 7	 1	 2	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
462000        110         13	 82	 5	 5	 1	 2	 1	 1	 7	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
463000        109         13	 83	 4	 4	 1	 2	 1	 1	 7	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	H4C4N8O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
464000        110         13	 82	 5	 5	 1	 2	 1	 1	 7	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
465000        111         12	 82	 5	 5	 1	 2	 1	 1	 9	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
466000        111         12	 82	 5	 5	 1	 2	 1	 1	 9	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
467000        111         12	 82	 5	 5	 1	 2	 1	 1	 9	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
468000        111         12	 82	 5	 5	 1	 2	 1	 1	 9	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H4C4N8O8	H6C6N9O8	N2O	
469000        112         13	 81	 5	 5	 1	 2	 1	 1	 10	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H4C4N8O8	H6C6N9O8	N2O	
470000        112         13	 81	 5	 5	 1	 2	 1	 1	 10	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
471000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
472000        113         12	 78	 6	 6	 1	 2	 1	 2	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
473000        113         12	 81	 5	 5	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
474000        113         12	 81	 5	 5	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
475000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
476000        113         12	 81	 5	 5	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
477000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
478000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
479000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
480000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
481000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
482000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
483000        115         12	 79	 7	 7	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
484000        113         12	 78	 6	 6	 1	 2	 1	 2	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
485000        113         12	 78	 6	 6	 1	 2	 1	 2	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
486000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
487000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
488000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
489000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
490000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
491000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
492000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H12C12N24O24	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
493000        114         12	 80	 6	 6	 1	 2	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N2O2	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
494000        116         13	 81	 6	 6	 1	 2	 1	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	H6C6N14O14	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
495000        116         13	 79	 7	 7	 1	 2	 1	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	H6C6N14O14	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
496000        115         13	 80	 6	 6	 1	 2	 1	 1	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
497000        117         13	 79	 7	 7	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
498000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
499000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
500000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
501000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
502000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
503000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
504000        116         14	 78	 6	 7	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
505000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
506000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
507000        116         14	 78	 6	 7	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
508000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
509000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
510000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H6C6N10O8	NO3	H6C6N12O11	H6C6N9O8	N2O	
511000        119         14	 78	 7	 9	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
512000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
513000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
514000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
515000        116         14	 78	 6	 7	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
516000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
517000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
518000        116         14	 78	 6	 7	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
519000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
520000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
521000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H8C8N16O16	H6C6N12O11	H6C6N9O8	N2O	
522000        116         14	 78	 7	 7	 1	 2	 1	 2	 1	 11	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
523000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
524000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
525000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
526000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
527000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
528000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
529000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
530000        116         14	 78	 6	 7	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H6C6N9O8	N2O	
531000        116         13	 80	 6	 6	 1	 2	 1	 2	 1	 12	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
532000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H6C6N9O8	N2O	
533000        115         14	 79	 5	 6	 1	 2	 1	 2	 1	 12	 1	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	NO3	H6C6N12O11	H4C4N8O8	H6C6N9O8	N2O	
534000        117         14	 79	 6	 6	 1	 2	 1	 2	 1	 13	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H4C4N8O8	H6C6N9O8	N2O	
535000        116         15	 78	 5	 6	 1	 2	 1	 2	 1	 13	 1	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H4C4N8O8	H6C6N9O8	N2O	
536000        116         15	 78	 5	 6	 1	 2	 1	 2	 1	 13	 1	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N9O7	H6C6N10O10	N4O4	H2C2N4O4	H12C12N23O22	NO3	H6C6N12O11	H4C4N8O8	H6C6N9O8	N2O	
537000        117         15	 77	 6	 7	 1	 2	 1	 2	 1	 13	 1	 2	 1	 1	 1	 1	
