R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R533;S322 -> S194 + S211;C2H5N4O4 -> H2O + C2H3N4O3;ON(C(=C(N)N)N([O])[O])[O]:O,O=N/C(=C(/[NH])\N)/N([O])[O];9.124088e+09;3.865268e+08;4.347781e+10;1
R533*;S194 + S211 -> S322;H2O + C2H3N4O3 -> C2H5N4O4;O,O=N/C(=C(/[NH])\N)/N([O])[O]:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;2.196955e+08;0
R534;S322 -> S230 + S477;C2H5N4O4 -> C2H4N4O3 + HO;ON(C(=C(N)N)N([O])[O])[O]:O=NC(=C(N)N)N([O])[O],[OH];2.737226e+10;6.500920e+09;7.252095e+10;3
R534*;S230 + S477 -> S322;C2H4N4O3 + HO -> C2H5N4O4;O=NC(=C(N)N)N([O])[O],[OH]:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;1.008401e+10;0
R535;S322 -> S231 + S625;C2H5N4O4 -> C2H5N3O2 + NO2;ON(C(=C(N)N)N([O])[O])[O]:O=NC(=C(N)N)O,[O]N=O;9.124088e+09;3.865268e+08;4.347781e+10;1
R535*;S231 + S625 -> S322;C2H5N3O2 + NO2 -> C2H5N4O4;O=NC(=C(N)N)O,[O]N=O:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;2.141790e+09;0
R536;S322 -> S332 + S625;C2H5N4O4 -> C2H5N3O2 + NO2;ON(C(=C(N)N)N([O])[O])[O]:ON([C]=C(N)N)[O],[O]N=O;2.737226e+10;6.500920e+09;7.252095e+10;3
R536*;S332 + S625 -> S322;C2H5N3O2 + NO2 -> C2H5N4O4;ON([C]=C(N)N)[O],[O]N=O:ON(C(=C(N)N)N([O])[O])[O];4.002100e+07;1.695423e+06;1.907068e+08;1
R537;S322 -> S355 + S581;C2H5N4O4 -> HNO2 + C2H4N3O2;ON(C(=C(N)N)N([O])[O])[O]:ON=O,[O]N([C]=C(N)N)[O];9.124088e+09;3.865268e+08;4.347781e+10;1
R537*;S355 + S581 -> S322;HNO2 + C2H4N3O2 -> C2H5N4O4;ON=O,[O]N([C]=C(N)N)[O]:ON(C(=C(N)N)N([O])[O])[O];0.000000e+00;0.000000e+00;5.066361e+08;0
