R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R22;S20 + S104 -> S48;C2H2N4O4 + C4H8N3O2 -> C6H6N7O6;[O]N(/N=C/C=N\N([O])[O])[O],[O]N(n1cc[n]cc1)[O]:[O]N(/N=C\[CH]N([C@H]1C=NC=CN1N([O])[O])N([O])[O])[O];5.474545e+11;2.319200e+10;2.608713e+12;1
R22*;S48 -> S20 + S104;C6H6N7O6 -> C2H2N4O4 + C4H8N3O2;[O]N(/N=C\[CH]N([C@H]1C=NC=CN1N([O])[O])N([O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N(n1cc[n]cc1)[O];0.000000e+00;0.000000e+00;2.304409e+12;0
R23;S21 + S70 -> S22;C10H10N20O20 + C2H2N4O4 -> C12H12N24O24;[O]N(/N=C/[C@H](N(N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N(N([O])[O])/C=C/[N]N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O]:[O]N(/N=C/[C@H](N(N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O];1.003667e+12;4.251867e+10;4.782641e+12;1
R23*;S22 -> S21 + S70;C12H12N24O24 -> C10H10N20O20 + C2H2N4O4;[O]N(/N=C/[C@H](N(N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N(N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N(N([O])[O])/C=C/[N]N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O];0.000000e+00;0.000000e+00;1.783174e+11;0
R24;S22 + S28 -> S57 + S70;C12H12N24O24 + C6H6N11O10 -> C16H16N31O30 + C2H2N4O4;[O]N(/N=C/[C@H](N(N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O],[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](C=N2)[N]N([O])[O])[O]:[O]N(ON([C@H]1C=N[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](N2N([O])[O])/C=N/N([O])[O])N([O])[O])[N]/C=C/N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O],[O]N([N]/C=C/[N]N([O])[O])[O];1.696338e+10;7.186253e+08;8.083336e+10;1
R24*;S57 + S70 -> S22 + S28;C16H16N31O30 + C2H2N4O4 -> C12H12N24O24 + C6H6N11O10;[O]N(ON([C@H]1C=N[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](N2N([O])[O])/C=N/N([O])[O])N([O])[O])[N]/C=C/N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O],[O]N([N]/C=C/[N]N([O])[O])[O]:[O]N(/N=C/[C@H](N(N([C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O],[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](C=N2)[N]N([O])[O])[O];0.000000e+00;0.000000e+00;3.608060e+12;0
R25;S23 -> S31;C12H12N24O24 -> C12H12N24O24;[O]N(/N=C/[C@H](N(N([C@H]1[C@H]2N(C=CN([C@H]([C@H](N1N([O])[O])N2N([O])[O])[N]N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N([CH][C@H](N2N([O])[O])N(N([C@H]1[C@H]2N([C@H](N1N([O])[O])[CH]N([C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R25*;S31 -> S23;C12H12N24O24 -> C12H12N24O24;[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N([CH][C@H](N2N([O])[O])N(N([C@H]1[C@H]2N([C@H](N1N([O])[O])[CH]N([C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N(N([C@H]1[C@H]2N(C=CN([C@H]([C@H](N1N([O])[O])N2N([O])[O])[N]N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([O])[O])N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;4.992887e+12;0
R26;S24 -> S32;C6H6N12O12 -> C6H6N12O12;[O]N(/N=C/[C@H](N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[N]N([O])[O])[O]:[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N([CH][C@H](N2N([O])[O])[N]N([O])[O])N([O])[O])[O];1.818182e+12;2.759096e+11;5.819293e+12;2
R26*;S32 -> S24;C6H6N12O12 -> C6H6N12O12;[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N([CH][C@H](N2N([O])[O])[N]N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[N]N([O])[O])[O];2.500000e+10;3.793757e+09;8.001528e+10;2
R27;S24 -> S33;C6H6N12O12 -> C6H6N12O12;[O]N(/N=C/[C@H](N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[N]N([O])[O])[O]:[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N1N([O])ON([C@H]1[CH]N2N([O])[O])N([O])[O])[O];9.090909e+11;3.851212e+10;4.331971e+12;1
R27*;S33 -> S24;C6H6N12O12 -> C6H6N12O12;[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N1N([O])ON([C@H]1[CH]N2N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[N]N([O])[O])[O];0.000000e+00;0.000000e+00;2.995732e+13;0
R28;S24 -> S65;C6H6N12O12 -> C6H6N12O12;[O]N(/N=C/[C@H](N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[N]N([O])[O])[O]:[O]N([N]/C=C/N([C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])[O];9.090909e+11;3.851212e+10;4.331971e+12;1
R28*;S65 -> S24;C6H6N12O12 -> C6H6N12O12;[O]N([N]/C=C/N([C@H](N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])/C=N/N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H](N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[N]N([O])[O])[O];0.000000e+00;0.000000e+00;1.361696e+12;0
