R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R16;S14 + S38 -> S7;C3H6N4O2 + C3H5N4O2 -> C6H11N8O4;N=CN(N([O])[O])CN=C,[O]N(N1C[N]C=NC1)[O]:C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O];8.627507e+09;3.654900e+08;4.111152e+10;1
R16*;S7 -> S14 + S38;C6H11N8O4 -> C3H6N4O2 + C3H5N4O2;C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O]:N=CN(N([O])[O])CN=C,[O]N(N1C[N]C=NC1)[O];0.000000e+00;0.000000e+00;2.995732e+13;0
R17;S14 + S54 -> S6;C3H6N4O2 + NO2 -> C3H6N5O4;N=CN(N([O])[O])CN=C,[O]N=O:C=NCN(N([O])[O])[CH]NN([O])[O];5.891215e+08;2.495715e+07;2.807263e+09;1
R17*;S6 -> S14 + S54;C3H6N5O4 -> C3H6N4O2 + NO2;C=NCN(N([O])[O])[CH]NN([O])[O]:N=CN(N([O])[O])CN=C,[O]N=O;0.000000e+00;0.000000e+00;2.995732e+12;0
R18;S15 -> S1 + S54;C3H5N5O3 -> C3H5N4O + NO2;O=NN1C=NCN(C1)N([O])[O]:C1[N]CN=CN1N=O,[O]N=O;9.174312e+10;3.886544e+09;4.371714e+11;1
R18*;S1 + S54 -> S15;C3H5N4O + NO2 -> C3H5N5O3;C1[N]CN=CN1N=O,[O]N=O:O=NN1C=NCN(C1)N([O])[O];0.000000e+00;0.000000e+00;5.699937e+09;0
R19;S16 -> S17 + S54;C3H6N6O5 -> C3H6N5O3 + NO2;O=NN1CN(CN(C1)N([O])[O])N([O])[O]:O=NN1C[N]CN(C1)N([O])[O],[O]N=O;2.824859e+10;1.196704e+09;1.346093e+11;1
R19*;S17 + S54 -> S16;C3H6N5O3 + NO2 -> C3H6N6O5;O=NN1C[N]CN(C1)N([O])[O],[O]N=O:O=NN1CN(CN(C1)N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;1.308216e+10;0
R20;S17 + S54 -> S45;C3H6N5O3 + NO2 -> C3H6N6O5;O=NN1C[N]CN(C1)N([O])[O],[O]N=O:[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O];4.366933e+09;1.849978e+08;2.080917e+10;1
R20*;S45 -> S17 + S54;C3H6N6O5 -> C3H6N5O3 + NO2;[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O]:O=NN1C[N]CN(C1)N([O])[O],[O]N=O;0.000000e+00;0.000000e+00;2.995732e+13;0
R21;S18 -> S15 + S54;C3H5N6O5 -> C3H5N5O3 + NO2;O=NN1[CH]N(CN(C1)N([O])[O])N([O])[O]:O=NN1C=NCN(C1)N([O])[O],[O]N=O;3.703704e+11;1.569012e+10;1.764877e+12;1
R21*;S15 + S54 -> S18;C3H5N5O3 + NO2 -> C3H5N6O5;O=NN1C=NCN(C1)N([O])[O],[O]N=O:O=NN1[CH]N(CN(C1)N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;2.868548e+09;0
R22;S20 -> S21 + S38 + S54;C3H6N6O6 -> HNO2 + C3H5N4O2 + NO2;ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O]:ON=O,[O]N(N1C[N]C=NC1)[O],[O]N=O;1.000000e+13;4.236333e+11;4.765168e+13;1
R22*;S21 + S38 + S54 -> S20;HNO2 + C3H5N4O2 + NO2 -> C3H6N6O6;ON=O,[O]N(N1C[N]C=NC1)[O],[O]N=O:ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;5.436447e+07;0
R23;S22 + S32 -> S14 + S54;C2H4N + CH2N4O4 -> C3H6N4O2 + NO2;[CH2]N=C,[O]N(N/C=N\N([O])[O])[O]:N=CN(N([O])[O])CN=C,[O]N=O;3.011000e+12;1.275560e+11;1.434792e+13;1
R23*;S14 + S54 -> S22 + S32;C3H6N4O2 + NO2 -> C2H4N + CH2N4O4;N=CN(N([O])[O])CN=C,[O]N=O:[CH2]N=C,[O]N(N/C=N\N([O])[O])[O];0.000000e+00;0.000000e+00;1.764850e+09;0
R24;S24 -> S0 + S11 + S23;C3H6N5O4 -> CHN + CH2N2O2 + CH3N2O2;[CH]=NCN(N([O])[O])CNN([O])[O]:C#N,C=NN([O])[O],[CH2]NN([O])[O];2.500000e+12;1.059083e+11;1.191292e+13;1
R24*;S0 + S11 + S23 -> S24;CHN + CH2N2O2 + CH3N2O2 -> C3H6N5O4;C#N,C=NN([O])[O],[CH2]NN([O])[O]:[CH]=NCN(N([O])[O])CNN([O])[O];0.000000e+00;0.000000e+00;1.810645e+12;0
R25;S25 + S36 -> S37 + S54;H + C3H5N5O4 -> C3H6N4O2 + NO2;[H],[O]N(N1CN=CN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;6.022000e+12;2.551120e+11;2.869584e+13;1
R25*;S37 + S54 -> S25 + S36;C3H6N4O2 + NO2 -> H + C3H5N5O4;[O]N(N1CNC=NC1)[O],[O]N=O:[H],[O]N(N1CN=CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;7.973613e+07;0
R26;S27 -> S37 + S54;C3H6N5O4 -> C3H6N4O2 + NO2;[O]N(/N=C\NCN(N([O])[O])[CH2])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;1.000000e+13;4.236333e+11;4.765168e+13;1
R26*;S37 + S54 -> S27;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1CNC=NC1)[O],[O]N=O:[O]N(/N=C\NCN(N([O])[O])[CH2])[O];0.000000e+00;0.000000e+00;7.973613e+07;0
R27;S28 -> S52 + S52;C14H10N6O12 -> C7H5N3O6 + C7H5N3O6;[O]N(C1=C(C)C(=C[C@]([CH]1)(ON(c1cc(cc(c1C)N([O])[O])N([O])[O])[O])N([O])[O])N([O])[O])[O]:[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O];1.515152e+11;6.418687e+09;7.219952e+11;1
R27*;S52 + S52 -> S28;C7H5N3O6 + C7H5N3O6 -> C14H10N6O12;[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O]:[O]N(C1=C(C)C(=C[C@]([CH]1)(ON(c1cc(cc(c1C)N([O])[O])N([O])[O])[O])N([O])[O])N([O])[O])[O];6.421975e+05;2.720563e+04;3.060179e+06;1
R28;S29 -> S41;C7H5N3O7 -> C7H5N3O7;[O]N(C1=CC(=C([C@]([CH]1)([O])N([O])[O])C)N([O])[O])[O]:[O]N(OC1=C(C)[C](C=C([CH]1)N([O])[O])N([O])[O])[O];5.555556e+11;2.353519e+10;2.647316e+12;1
R28*;S41 -> S29;C7H5N3O7 -> C7H5N3O7;[O]N(OC1=C(C)[C](C=C([CH]1)N([O])[O])N([O])[O])[O]:[O]N(C1=CC(=C([C@]([CH]1)([O])N([O])[O])C)N([O])[O])[O];0.000000e+00;0.000000e+00;6.113739e+11;0
R29;S31 + S35 -> S34;C7H5N3O6 + C3H6N6O6 -> C10H11N9O12;[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O]:[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])O[C@]1([CH]C(=CC(=C1C)N([O])[O])N([O])[O])N([O])[O];2.357656e+06;9.987816e+04;1.123463e+07;1
R29*;S34 -> S31 + S35;C10H11N9O12 -> C7H5N3O6 + C3H6N6O6;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])O[C@]1([CH]C(=CC(=C1C)N([O])[O])N([O])[O])N([O])[O]:[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;2.995732e+13;0
R30;S31 + S37 -> S30 + S38;C7H5N3O6 + C3H6N4O2 -> C7H6N3O6 + C3H5N4O2;[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N(N1CNC=NC1)[O]:[O]N(C1=C[C](C(=C([CH]1)N([O])O)C)N([O])[O])[O],[O]N(N1C[N]C=NC1)[O];5.408804e+07;2.291350e+06;2.577386e+08;1
R30*;S30 + S38 -> S31 + S37;C7H6N3O6 + C3H5N4O2 -> C7H5N3O6 + C3H6N4O2;[O]N(C1=C[C](C(=C([CH]1)N([O])O)C)N([O])[O])[O],[O]N(N1C[N]C=NC1)[O]:[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N(N1CNC=NC1)[O];0.000000e+00;0.000000e+00;9.111263e+10;0
R31;S31 + S54 -> S44;C7H5N3O6 + NO2 -> C7H5N4O8;[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N=O:[O]N(ON([C]1C=C([CH]C(=C1C)N([O])[O])N([O])[O])[O])[O];8.193242e+06;3.470930e+05;3.904218e+07;1
R31*;S44 -> S31 + S54;C7H5N4O8 -> C7H5N3O6 + NO2;[O]N(ON([C]1C=C([CH]C(=C1C)N([O])[O])N([O])[O])[O])[O]:[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O],[O]N=O;2.000000e+12;8.472667e+10;9.530336e+12;1
R32;S33 -> S16 + S53;C6H12N11O10 -> C3H6N6O5 + C3H6N5O5;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])ON1CN(CN(C1)N([O])[O])N([O])[O]:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N1CN(CN(C1)N([O])[O])N([O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R32*;S16 + S53 -> S33;C3H6N6O5 + C3H6N5O5 -> C6H12N11O10;O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N1CN(CN(C1)N([O])[O])N([O])[O]:[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])ON1CN(CN(C1)N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;5.110567e+10;0
